mechanism,sequence_length,prefill_ms,prefill_tokens_per_second,uncached_decode_ms_per_token,peak_memory_bytes,decode_mode
multigrid,64,12.823151797056198,4990.972657337834,231.37494802940637,105029120,full-prefix replay
multigrid,128,15.391624439507723,8316.21122923487,282.02827720087953,105904128,full-prefix replay
multigrid,256,17.576129408553243,14565.209099758917,271.3152262789663,107372544,full-prefix replay
multigrid,512,19.232401391491294,26621.740550117498,262.4092186219059,109809664,full-prefix replay
softmax,64,1.9105427898466587,33498.333740610266,1.5953226014971733,111115776,full-prefix replay
softmax,128,1.7197552137076855,74429.19723676251,1.5217602252960205,112362496,full-prefix replay
softmax,256,1.7776716034859419,144008.60063129454,1.605268201092258,115281920,full-prefix replay
softmax,512,1.8975808285176754,269817.2284971686,1.4787265739869326,120270848,full-prefix replay
linear_attention,64,3.373305592685938,18972.48803629471,15.483925997978076,215283712,full-prefix replay
linear_attention,128,2.9456643853336573,43453.694398216845,15.778171224519612,216573952,full-prefix replay
linear_attention,256,3.007460804656148,85121.64135394916,16.089780622860417,219238912,full-prefix replay
linear_attention,512,3.123887814581394,163898.3313069483,15.838497196091337,224594944,full-prefix replay
ssm,64,2.269902778789401,28195.040156800413,10.552142496453598,213552128,full-prefix replay
ssm,128,2.0627410151064396,62053.35476562242,10.45556269818917,215742464,full-prefix replay
ssm,256,2.1425636019557714,119483.03414018538,10.68668607622385,217340416,full-prefix replay
ssm,512,2.2965707816183567,222941.09291036168,10.569022374693304,222391808,full-prefix replay
gru,64,12.593783205375075,5081.8724569345095,11.921995499869809,212891648,full-prefix replay
gru,128,20.898769795894623,6124.762426214411,20.981491450220346,214181888,full-prefix replay
gru,256,42.06018759869039,6086.515886295547,39.74765862803906,216828928,full-prefix replay
gru,512,78.15600018948317,6551.000547094218,78.03656620089896,221628416,full-prefix replay
